bcat,kras,label
1.0,2.8352324e-11,0
0.35808596,0.64191407,0
0.99994314,5.691649e-05,0
1.0,1.3907469e-09,0
1.0,5.681654e-10,0
0.9999819,1.8061066e-05,0
0.9999995,4.3801376e-07,0
0.9999994,5.665611e-07,0
1.0,3.3990993e-08,0
1.0,7.0701577e-23,0
1.0,3.34419e-10,0
0.99999976,1.9429112e-07,0
1.0,1.6027438e-09,0
1.0,3.2592316e-12,0
1.0,2.3659348e-27,0
1.0,3.7169453e-08,0
1.0,1.3118312e-10,0
0.99999917,8.698538e-07,0
1.0,9.6053725e-09,0
1.0,2.5126926e-25,0
0.99999917,8.0334013e-07,0
0.9999993,7.491083e-07,0
1.0,5.349158e-11,0
0.999995,5.0306185e-06,0
1.0,6.4869564e-14,0
0.9999969,3.1553543e-06,0
0.99999976,1.9744546e-07,0
0.9999995,4.6834128e-07,0
1.0,1.3368414e-08,0
1.0,6.581224e-10,0
1.0,4.954093e-11,0
0.99998355,1.640675e-05,0
0.99999475,5.230416e-06,0
0.9999999,1.10536966e-07,0
1.0,1.3421146e-08,0
0.99956197,0.0004380677,0
0.99999976,2.7039013e-07,0
0.99994767,5.2291347e-05,0
0.9999995,4.701483e-07,0
1.0,5.912401e-11,0
1.0,1.2522345e-08,0
1.0,3.6078163e-10,0
0.9843709,0.015629042,0
0.99999976,2.1234926e-07,0
1.0,1.2153521e-08,0
0.9998454,0.00015455189,0
0.9999784,2.1535163e-05,0
0.9996051,0.00039485106,0
0.9034339,0.096566096,0
1.0,7.9439394e-10,0
1.0,8.527981e-11,0
0.9999995,4.7683304e-07,0
1.0,7.293047e-11,0
0.9999409,5.9134232e-05,0
1.0,1.4705157e-10,0
1.0,3.2394247e-08,0
0.99999666,3.3061074e-06,0
1.0,3.3083545e-08,0
1.0,0.0,0
1.0,3.82617e-10,0
1.0,1.2253613e-11,0
0.99999976,2.5061888e-07,0
0.9999901,9.839013e-06,0
0.11709326,0.88290673,0
0.9999999,1.0405994e-07,0
0.6324504,0.3675496,0
1.0,1.0749128e-10,0
0.99993145,6.849566e-05,0
1.0,3.9734e-10,0
0.9999999,1.3126414e-07,0
0.9999974,2.625369e-06,0
0.6867142,0.31328577,0
0.99985456,0.00014537686,0
0.37426683,0.62573314,0
0.85002726,0.14997278,0
0.99988973,0.000110245775,0
0.99999964,3.43509e-07,0
0.99999297,7.0928468e-06,0
0.9994254,0.0005746726,0
1.0,2.3261602e-08,0
0.17160936,0.8283906,0
0.9995766,0.0004233622,0
0.97295165,0.027048402,0
